,Title,Price,NumberReview,Review,url
38,Msrugs Black Traditional Area Rug 8x10 Bedroom Living Room Dining Oriental Vintage Persian Style Indoor Area Rug Nairobi Collection  ,186.99,26,4.3 out of 5 stars,https://www.amazon.ca/Meredosia-Oriental-Black-Beige-Area/dp/B07G7HXC19/ref=sr_1_39?crid=2ODRV04KOTK3K&keywords=persian&qid=1637448005&sprefix=persian%2Caps%2C148&sr=8-39
39,"Rug Branch Majestic Blue Cream Traditional Vintage Persian High-Density Area Rug (4x6 feet) Transitional - 3'9"" x 5'6"", Blue Cream  ",128.07,1,3.0 out of 5 stars,https://www.amazon.ca/Rug-Branch-Majestic-High-Density-Transitional/dp/B07RQ2XV6L/ref=sr_1_40?crid=2ODRV04KOTK3K&keywords=persian&qid=1637448005&sprefix=persian%2Caps%2C148&sr=8-40
40,"Safavieh Vintage Hamadan Collection VTH219A Traditional Oriental Persian Runner, 2' 3"" x 8', Red/Multi  ",103.99,14,4.7 out of 5 stars,https://www.amazon.ca/Safavieh-Vintage-Collection-Oriental-Antiqued/dp/B01LXTLJAY/ref=sr_1_41?crid=2ODRV04KOTK3K&keywords=persian&qid=1637448005&sprefix=persian%2Caps%2C148&sr=8-41
41,"Nourison PSN20 Passion Persian Colorful Light Grey/Pink Area Rug 5'3"" X 7'3"", 5' x 7  ",145.10,1123,4.7 out of 5 stars,https://www.amazon.ca/Nourison-PSN20-Passion-Persian-Colorful/dp/B07K2T75C5/ref=sr_1_42?crid=2ODRV04KOTK3K&keywords=persian&qid=1637448005&sprefix=persian%2Caps%2C148&sr=8-42
42,The Persians  ,60.82,Golabi,4.0 out of 5 stars,https://www.amazon.ca/Persians-Gene-R-Garthwaite/dp/1405156805/ref=sr_1_43?crid=2ODRV04KOTK3K&keywords=persian&qid=1637448005&sprefix=persian%2Caps%2C148&sr=8-43
43,Safavieh LNH331B-8 Lyndhurst Collection Traditional Oriental Red & Black Area Rug (8' x 11')  ,576.36,425,4.6 out of 5 stars,https://www.amazon.ca/Safavieh-LNH331B-8-Lyndhurst-Collection-Traditional/dp/B002PA1L8I/ref=sr_1_44?crid=2ODRV04KOTK3K&keywords=persian&qid=1637448005&sprefix=persian%2Caps%2C148&sr=8-44
44,"Rugshop Persian Traditional Area Rug 7'10"" x 10' Pink  ",286.59,146,4.1 out of 5 stars,https://www.amazon.ca/Rugshop-Persian-Traditional-Area-Rug/dp/B07KGGY7L9/ref=sr_1_45?crid=2ODRV04KOTK3K&keywords=persian&qid=1637448005&sprefix=persian%2Caps%2C148&sr=8-45
45,"nuLOOM RZBD32A Fancy Persian Vonda Area Rug, 5' X 7' 5"", Pink  ",203.14,223,4.6 out of 5 stars,https://www.amazon.ca/nuLOOM-Traditional-Vintage-Katrina-Blooming/dp/B01HDWJWTC/ref=sr_1_46?crid=2ODRV04KOTK3K&keywords=persian&qid=1637448005&sprefix=persian%2Caps%2C148&sr=8-46
46,"Persian: Journal and Notebook - Composition Size (6""x9"") With 120 Lined Pages, Perfect for Journal, Doodling, Sketching and Notes  ",6.64,,,https://www.amazon.ca/Persian-Notebook-Composition-Doodling-Sketching/dp/B08KR3ZDPQ/ref=sr_1_47?crid=2ODRV04KOTK3K&keywords=persian&qid=1637448005&sprefix=persian%2Caps%2C148&sr=8-47
47,"Home Dynamix Premium 7'8""X10'7"" 7069-300 Sakarya Traditional Area Rug Navy Blue  ",153.23,8835,4.1 out of 5 stars,https://www.amazon.ca/Premium-Home-Dynamix-Traditional-Persian-Inspired/dp/B0007MVL54/ref=sr_1_48?crid=2ODRV04KOTK3K&keywords=persian&qid=1637448005&sprefix=persian%2Caps%2C148&sr=8-48
